Lfd. Nummer;Name des Flughafens;Ort;Land;IATA;ICAO;Latitude;Longitude;Altitude;Zeitzone;DST;Zeitzonen-Datenbank;geo_punkt
6000;Odate Noshiro Airport;Odate Noshiro;Japan;ONJ;RJSR;40.1918983459;140.371002197;89;9.0;U;Asia/Tokyo;40.1918983459, 140.371002197
6002;Miyakejima Airport;Miyakejima;Japan;MYE;RJTQ;34.073600769;139.559997559;20;9.0;U;Asia/Tokyo;34.073600769, 139.559997559
6006;Yangyang International Airport;Sokcho / Gangneung;South Korea;YNY;RKNY;38.061298;128.669006;73;9.0;U;Asia/Seoul;38.061298, 128.669006
6021;Tuguegarao Airport;Tuguegarao;Philippines;TUG;RPUT;17.6433676823;121.733150482;21;8.0;N;Asia/Manila;17.6433676823, 121.733150482
6022;Virac Airport;Virac;Philippines;VRC;RPUV;13.576399803161621;124.20600128173828;37;8.0;N;Asia/Manila;13.576399803161621, 124.20600128173828
6028;Las Heras Airport;Las Heras;Argentina;LHS;SAVH;-46.53829956049999;-68.9653015137;330;-3.0;N;America/Argentina/Rio_Gallegos;-46.53829956049999, -68.9653015137
6039;Vitória da Conquista Airport;Vitória Da Conquista;Brazil;VDC;SBQV;-14.8627996445;-40.8630981445;915;-3.0;S;America/Fortaleza;-14.8627996445, -40.8630981445
6043;Pucón Airport;Pucon;Chile;ZPC;SCPC;-39.29280090332031;-71.91590118408203;260;-4.0;S;America/Santiago;-39.29280090332031, -71.91590118408203
6047;General Rivadeneira Airport;Esmeraldas;Ecuador;ESM;SETN;0.9785190224647522;-79.62660217285156;10;-5.0;U;America/Guayaquil;0.9785190224647522, -79.62660217285156
6049;Santa Ana Airport;Cartago;Colombia;CRC;SKGO;4.75818;-75.9557;908;-5.0;U;America/Bogota;4.75818, -75.9557
6054;Obando Airport;Puerto Inírida;Colombia;PDA;SKPD;3.85353;-67.9062;140;-5.0;U;America/Bogota;3.85353, -67.9062
6065;Caballococha Airport;Caballococha;Peru;0;SPBC;-3.91686010361;-70.5082015991;100;-5.0;U;America/Lima;-3.91686010361, -70.5082015991
6066;Mayor General FAP Armando Revoredo Iglesias Airport;Cajamarca;Peru;CJA;SPJR;-7.1391801834106445;-78.4894027709961;2676;-5.0;U;America/Lima;-7.1391801834106445, -78.4894027709961
6068;Maria Reiche Neuman Airport;Nazca;Peru;NZC;SPZA;-14.854000091600001;-74.9615020752;567;-5.0;U;America/Lima;-14.854000091600001, -74.9615020752
6076;Baillif Airport;Basse Terre;Guadeloupe;BBR;TFFB;16.0132999420166;-61.7421989440918;18;-4.0;U;America/Guadeloupe;16.0132999420166, -61.7421989440918
6078;Les Bases Airport;Grand Bourg;Guadeloupe;GBJ;TFFM;15.86870002746582;-61.27000045776367;5;-4.0;U;America/Guadeloupe;15.86870002746582, -61.27000045776367
6082;Union Island International Airport;Union Island;Saint Vincent and the Grenadines;UNI;TVSU;12.60013484954834;-61.41194534301758;5;-4.0;U;America/St_Vincent;12.60013484954834, -61.41194534301758
6090;Nakhchivan Airport;Nakhchivan;Azerbaijan;NAJ;UBBN;39.18880081176758;45.45840072631836;873;4.0;E;Asia/Baku;39.18880081176758, 45.45840072631836
6091;Chulman Airport;Neryungri;Russia;NER;UELL;56.913898468018;124.91400146484;857;9.0;N;Asia/Yakutsk;56.913898468018, 124.91400146484
6094;Cherskiy Airport;Cherskiy;Russia;CYX;UESS;68.7406005859375;161.33799743652344;6;11.0;N;Asia/Srednekolymsk;68.7406005859375, 161.33799743652344
6101;Mariupol International Airport;Mariupol International;Ukraine;MPW;UKCM;47.07609939575195;37.44960021972656;77;2.0;E;Europe/Kiev;47.07609939575195, 37.44960021972656
