Lfd. Nummer,Name des Flughafens,Ort,Land,IATA,ICAO,Latitude,Longitude,Altitude,Zeitzone,DST,Zeitzonen-Datenbank,geo_punkt,
7108,Huslia Airport,Huslia,United States,HSL,PAHL,65.69789886,-156.3509979,67,-9,A,America/Anchorage,65.69789886,-156.3509979
7114,Venetie Airport,Venetie,United States,VEE,PAVE,67.00869751,-146.3659973,175,-9,A,America/Anchorage,67.00869751,-146.3659973
7116,Central Airport,Central,United States,CEM,PACE,65.57379913,-144.7830048,286,-9,A,America/Anchorage,65.57379913,-144.7830048
7121,Visalia Municipal Airport,Visalia,United States,VIS,KVIS,36.31869888,-119.3929977,90,-8,A,America/Los_Angeles,36.31869888,-119.3929977
7125,Amarais Airport,Campinas,Brazil,CPQ,SDAM,-22.85919952,-47.10820007,612,-3,S,America/Sao_Paulo,-22.85919952,-47.10820007
7126,Phoenix Goodyear Airport,Goodyear,United States,GYR,KGYR,33.42250061,-112.3759995,295,-7,N,America/Phoenix,33.42250061,-112.3759995
7130,Gatton Campus Airport,Gatton,Australia,0,YGAT,-27.56040607,152.3404598,0,10,N,Australia/Brisbane,-27.56040607,152.3404598
7136,Elfin Cove Seaplane Base,Elfin Cove,United States,ELV,PAEL,58.19520187,-136.3470001,0,-9,A,America/Anchorage,58.19520187,-136.3470001
7142,Hoonah Airport,Hoonah,United States,HNH,PAOH,58.0961,-135.410111,6,-9,A,America/Anchorage,58.0961,-135.410111
7143,Kake Airport,Kake,United States,0,PAFE,56.96139908,-133.9100037,52,-9,A,America/Anchorage,56.96139908,-133.9100037
7154,Egegik Airport,Egegik,United States,EGX,PAII,58.1855011,-157.375,28,-9,A,America/Anchorage,58.1855011,-157.375
7157,Perryville Airport,Perryville,United States,KPV,PAPE,55.905998,-159.162993,9,-9,A,America/Anchorage,55.905998,-159.162993
7158,Pilot Point Airport,Pilot Point,United States,PIP,PAPN,57.58039856,-157.5720062,17,-9,A,America/Anchorage,57.58039856,-157.5720062
7162,Larsen Bay Airport,Larsen Bay,United States,KLN,PALB,57.53509903,-153.9779968,27,-9,A,America/Anchorage,57.53509903,-153.9779968
7179,Bob Baker Memorial Airport,Kiana,United States,IAN,PAIK,66.97599792,-160.4369965,51,-9,A,America/Anchorage,66.97599792,-160.4369965
7180,Kobuk Airport,Kobuk,United States,OBU,PAOB,66.91230011,-156.8970032,42,-9,A,America/Anchorage,66.91230011,-156.8970032
7181,Robert (Bob) Curtis Memorial Airport,Noorvik,United States,ORV,PFNO,66.81790161,-161.0189972,17,-9,A,America/Anchorage,66.81790161,-161.0189972
7182,Selawik Airport,Selawik,United States,WLK,PASK,66.60009766,-159.9859924,5,-9,A,America/Anchorage,66.60009766,-159.9859924
7184,Elim Airport,Elim,United States,ELI,PFEL,64.61470032,-162.2720032,49,-9,A,America/Anchorage,64.61470032,-162.2720032
7185,Golovin Airport,Golovin,United States,GLV,PAGL,64.55049896,-163.0070038,18,-9,A,America/Anchorage,64.55049896,-163.0070038
7186,Teller Airport,Teller,United States,TLA,PATE,65.24040222,-166.3390045,90,-9,A,America/Anchorage,65.24040222,-166.3390045
7187,Wales Airport,Wales,United States,WAA,PAIW,65.622593,-168.095,7,-9,A,America/Anchorage,65.622593,-168.095
7191,St Michael Airport,St. Michael,United States,SMK,PAMK,63.49010086,-162.1100006,30,-9,A,America/Anchorage,63.49010086,-162.1100006
7192,Shaktoolik Airport,Shaktoolik,United States,SKK,PFSH,64.37110138,-161.223999,7,-9,A,America/Anchorage,64.37110138,-161.223999
7196,Nikolski Air Station,Nikolski,United States,IKO,PAKO,52.9416008,-168.848999,23,-9,A,America/Anchorage,52.9416008,-168.848999
7198,Yakataga Airport,Yakataga,United States,CYT,PACY,60.080974,-142.494541,4,-9,A,America/Anchorage,60.080974,-142.494541
7201,Kipnuk Airport,Kipnuk,United States,KPN,PAKI,59.93299866,-164.0310059,3,-9,A,America/Anchorage,59.93299866,-164.0310059
7202,False Pass Airport,False Pass,United States,KFP,PAKF,54.84740067,-163.4100037,6,-9,A,America/Anchorage,54.84740067,-163.4100037
7209,Scammon Bay Airport,Scammon Bay,United States,SCM,PACM,61.84529877,-165.5709991,4,-9,A,America/Anchorage,61.84529877,-165.5709991
7220,Wainwright Airport,Wainwright,United States,AIN,PAWI,70.63800049,-159.9949951,12,-9,A,America/Anchorage,70.63800049,-159.9949951
7221,Zapala Airport,ZAPALA,Argentina,APZ,SAHZ,-38.975498,-70.113602,1015,-3,N,America/Argentina/Salta,-38.975498,-70.113602
7222,Rincon De Los Sauces Airport,Rincon de los Sauces,Argentina,RDS,SAHS,-37.3905983,-68.90419769,600,-3,N,America/Argentina/Salta,-37.3905983,-68.90419769
7246,Manley Hot Springs Airport,Manley Hot Springs,United States,MLY,PAML,64.99759674,-150.6439972,82,-9,A,America/Anchorage,64.99759674,-150.6439972
7252,Postville Airport,Postville,Canada,YSO,CCD4,54.9105,-59.78507,59,-4,A,America/Halifax,54.9105,-59.78507
7254,Alma Airport,Alma,Canada,YTF,CYTF,48.50889969,-71.64189911,136,-5,A,America/Toronto,48.50889969,-71.64189911
7255,Havre St Pierre Airport,Havre-Saint-Pierre,Canada,YGV,CYGV,50.2818985,-63.6114006,38,-5,A,America/Toronto,50.2818985,-63.6114006
7256,Rimouski Airport,Rimouski,Canada,YXK,CYXK,48.47809982,-68.49690247,25,-5,A,America/Toronto,48.47809982,-68.49690247
7263,Little Grand Rapids Airport,Little Grand Rapids,Canada,ZGR,CZGR,52.04560089,-95.46579742,306,-6,A,America/Winnipeg,52.04560089,-95.46579742
7275,Denny Island Airport,Bella Bella,Canada,0,CYJQ,52.137937,-128.059748,49,-8,A,America/Vancouver,52.137937,-128.059748
7280,Cabo San Lucas International Airport,Cabo San Lucas,Mexico,0,MMSL,22.947701,-109.936996,140,-7,A,America/Mazatlan,22.947701,-109.936996
7291,Corn Island,Corn Island,Nicaragua,RNI,MNCI,12.16289997,-83.063797,0,-6,U,America/Managua,12.16289997,-83.063797
7297,Playa Samara/Carrillo Airport,Carrillo,Costa Rica,PLD,MRCR,9.870510101,-85.48139954,15,-6,U,America/Costa_Rica,9.870510101,-85.48139954
7325,Albina Airport,Albina,Suriname,ABN,SMBN,5.512720108,-54.05009842,6,-3,U,America/Paramaribo,5.512720108,-54.05009842
7331,Kabalebo Airport,Kabalebo,Suriname,0,SMKA,4.406,-57.223,163,-3,U,America/Paramaribo,4.406,-57.223
7340,Totness Airport,Totness,Suriname,TOT,SMCO,5.865829945,-56.32749939,3,-3,U,America/Paramaribo,5.865829945,-56.32749939
7349,Imbaimadai Airport,Imbaimadai,Guyana,IMB,SYIB,5.708109856,-60.2942009,502,-4,U,America/Guyana,5.708109856,-60.2942009
7352,Mahdia Airport,Mahdia,Guyana,MHA,SYMD,5.277490139,-59.15110016,91,-4,U,America/Guyana,5.277490139,-59.15110016
7353,Dr Augusto Roberto Fuster International Airport,Pedro Juan Caballero,Paraguay,PJC,SGPJ,-22.63999939,-55.83000183,571,-4,U,America/Asuncion,-22.63999939,-55.83000183
7354,Alcides Fernández Airport,Acandi,Colombia,ACD,SKAD,8.51667,-77.3,15,-5,U,America/Bogota,8.51667,-77.3
7355,Los Colonizadores Airport,Saravena,Colombia,RVE,SKSA,6.951868,-71.857179,207,-5,U,America/Bogota,6.951868,-71.857179
7370,Breves Airport,Breves,Brazil,BVS,SNVS,-1.636530042,-50.4435997,30,-3,S,America/Belem,-1.636530042,-50.4435997
7377,Novo Aripuanã Airport,Novo Aripuana,Brazil,NVP,SWNA,-5.118030071,-60.36489868,36,-4,S,America/Boa_Vista,-5.118030071,-60.36489868
7378,Fazenda Colen Airport,Lucas do Rio Verde,Brazil,0,SWFE,-13.31444359,-56.11277771,410,-4,S,America/Campo_Grande,-13.31444359,-56.11277771
7383,Tancredo Thomas de Faria Airport,Guarapuava,Brazil,GPB,SBGU,-25.38750076,-51.52019882,1065,-3,S,America/Sao_Paulo,-25.38750076,-51.52019882
7394,General Leite de Castro Airport,Rio Verde,Brazil,RVD,SWLC,-17.83472252,-50.95611191,751,-3,S,America/Sao_Paulo,-17.83472252,-50.95611191
7396,Maués Airport,Maues,Brazil,MBZ,SWMW,-3.37217,-57.7248,21,-4,S,America/Boa_Vista,-3.37217,-57.7248
7399,Barcelos Airport,Barcelos,Brazil,BAZ,SWBC,-0.981292,-62.919601,34,-4,S,America/Boa_Vista,-0.981292,-62.919601
7409,Nzagi Airport,Nzagi,Angola,NZA,FNZG,-7.716939926,21.35820007,741,1,U,Africa/Luanda,-7.716939926,21.35820007
7412,Capanda Airport,Kapanda,Angola,KNP,FNCP,-9.769370079,15.4553194,1026,1,U,Africa/Luanda,-9.769370079,15.4553194
7414,Shark El Oweinat International Airport,Sharq Al-Owainat,Egypt,GSQ,HEOW,22.58569908,28.71660042,262,2,U,Africa/Cairo,22.58569908,28.71660042
7415,Eastern WV Regional Airport/Shepherd Field,Martinsburg,United States,MRB,KMRB,39.40190125,-77.98459625,172,-5,A,America/New_York,39.40190125,-77.98459625
7416,Awassa Airport,Awasa,Ethiopia,AWA,HALA,7.066999912,38.5,1661,3,U,Africa/Addis_Ababa,7.066999912,38.5
7422,Robe Airport,Goba,Ethiopia,GOB,HAGB,7.1160634,40.0463033,2405,3,U,Africa/Addis_Ababa,7.1160634,40.0463033
7424,Mara Serena Lodge Airstrip,Masai Mara,Kenya,MRE,HKMS,-1.406111,35.008057,1585,3,U,Africa/Nairobi,-1.406111,35.008057
7427,Rumbek Airport,Rumbek,Sudan,RBX,HSMK,6.824999809,29.66900063,420,3,U,Africa/Juba,6.824999809,29.66900063
7428,Yei Airport,Yei,Sudan,0,HSYE,4.130281601,30.72807312,610,3,U,Africa/Juba,4.130281601,30.72807312
7442,Ouro Sogui Airport,Matam,Senegal,MAX,GOSM,15.59360027,-13.32279968,26,0,U,Africa/Dakar,15.59360027,-13.32279968
7447,Enfidha - Hammamet International Airport,Enfidha,Tunisia,NBE,DTNH,36.075833,10.438611,6,1,U,Africa/Tunis,36.075833,10.438611
7449,Kitgum Airport,Kitgum,Uganda,0,HUKT,3.2817,32.8882,954,3,U,Africa/Kampala,3.2817,32.8882
7453,Hatay Airport,Hatay,Turkey,HTY,LTDA,36.36277771,36.28222275,82,3,U,Europe/Istanbul,36.36277771,36.28222275
7454,Kihnu Airfield,Kihnu,Estonia,0,EEKU,58.14830017,24.00250053,3,2,U,Europe/Tallinn,58.14830017,24.00250053
7464,Bildudalur Airport,Bildudalur,Iceland,BIU,BIBD,65.64129639,-23.5461998,5,0,N,Atlantic/Reykjavik,65.64129639,-23.5461998
7469,Ak Bashat Airport,Taldykorgan,Kazakhstan,0,UAAT,42.88958,73.602004,0,6,U,Asia/Bishkek,42.88958,73.602004
7470,Ulgii Mongolei Airport,Olgii,Mongolia,ULG,ZMUL,48.99330139,89.92250061,1747,7,U,Asia/Hovd,48.99330139,89.92250061
7480,Leshukonskoye Airport,Arkhangelsk,Russia,LDG,ULAL,64.89600372,45.72299957,67,3,N,Europe/Moscow,64.89600372,45.72299957
7481,Nizhneangarsk Airport,Nizhneangarsk,Russia,0,UIUN,55.80080032,109.5950012,471,8,N,Asia/Irkutsk,55.80080032,109.5950012
7486,Baykit Airport,Baykit,Russia,0,UNIB,61.67670059,96.35500336,260,7,N,Asia/Krasnoyarsk,61.67670059,96.35500336
7488,Huesca/Pirineos Airport,Huesca,Spain,HSK,LEHC,42.0760994,-0.316666991,539,1,U,Europe/Madrid,42.0760994,-0.316666991
